epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9301,1.83897,3.29957,2.97217,1.63217,0,0.00615,0.58042,0.06064,0.02222,0.0037,0.34965,0.02959,0.00538,2.03863,1.95371,3.29443,1.86435,0,0.000611111,0.000611111,0.000611111
2,20.1481,1.59873,1.57233,2.22287,1.43535,0,0.13381,0.13287,0.05091,0.01751,0.08534,0.0979,0.02267,0.00412,2.41207,1.9029,3.48133,2.47322,0,0.00126934,0.00126934,0.00126934
3,29.6086,1.72753,1.51448,2.20244,1.50572,0,0.15858,0.07692,0.03443,0.01045,0.01579,0.01399,0.0009,0.00016,2.39097,4.11991,4.26867,3.28473,0,0.00191878,0.00191878,0.00191878
4,37.3396,1.65019,1.52225,2.09139,1.45411,0,0.11624,0.11888,0.02806,0.00945,0.00067,0.06294,8e-05,1e-05,2.3905,12.6793,6.49266,3.53668,0,0.0019604,0.0019604,0.0019604
5,45.3703,1.61447,1.37804,1.99294,1.47657,0,0.1352,0.14685,0.04195,0.01337,0.05506,0.04895,0.01037,0.00197,2.40032,3.46639,8.05127,3.13541,0,0.0019472,0.0019472,0.0019472
6,53.181,1.67419,1.49168,1.96192,1.44328,0,0.07648,0.13986,0.0233,0.00689,0.03484,0.12587,0.00856,0.0016,2.54345,1.80784,8.5509,2.88434,0,0.001934,0.001934,0.001934
7,61.0117,1.51554,1.47351,1.80796,1.35597,0,0.08934,0.16084,0.04307,0.01194,0.05396,0.04895,0.01062,0.00141,2.59999,2.44863,7.10951,2.77863,0,0.0019208,0.0019208,0.0019208
8,68.4847,1.54625,1.279,1.85586,1.40516,0,0.14954,0.20979,0.07943,0.02665,0.16557,0.2028,0.05561,0.01222,2.23747,1.46221,3.2011,2.21142,0,0.0019076,0.0019076,0.0019076
9,76.5468,1.57747,1.34039,1.81137,1.4052,0,0.16716,0.21678,0.08717,0.02304,0.13048,0.23077,0.06703,0.0131,2.42338,1.36475,3.18683,2.31349,0,0.0018944,0.0018944,0.0018944
10,84.0395,1.53477,1.37456,1.7367,1.35364,0,0.16723,0.24013,0.1122,0.04162,0.16596,0.20979,0.09378,0.01882,2.25157,1.43265,3.43832,2.12284,0,0.0018812,0.0018812,0.0018812
